	EMTScoreStd
P7_5A_control	3.84357200970754
P7_5A_swap	2.15317489600134
P7_5B_control	3.74605678136133
P7_5B_swap	4.7167612740621
P7_5C_control	3.51493062700706
P7_5C_swap	3.62431039480694
WT_BC_02_control	-0.54435411533031
WT_BC_02_swap	-0.77949369574619
WT_BC_03_control	0.329851719619366
WT_BC_03_swap	-1.90822005535374
WT_BC_04_control	0.965845556603577
WT_BC_04_swap	-0.917810723172404
WT_BC_05_control	-1.54863147416578
WT_BC_05_swap	-3.27407059806994
WT_BC_06_control	-0.552251012240882
WT_BC_06_swap	-0.788123637734305
WT_BC_07_control	-0.229308322523092
WT_BC_07_swap	-1.29805429720069
WT_BC_08_control	-0.678073743711969
WT_BC_08_swap	-2.45706286918529
WT_BC_09_control	0.91770451885556
WT_BC_09_swap	-0.963755474067535
WT_BC_10_control	-0.949527848453247
WT_BC_10_swap	-2.877956869505
WT_BC_12_control	-0.211296650408689
WT_BC_12_swap	-2.22951363257189
WT_BC_13_control	-0.95656131260766
WT_BC_13_swap	-1.78675965195883
WT_BC_14_control	-1.87268689385232
WT_BC_14_swap	-3.51564970442256
WT_BC_15_control	-1.41931606869302
WT_BC_15_swap	-2.27736764331215
WT_BC_16_control	0.366388241122788
WT_BC_16_swap	-1.26616870963168
WT_BC_17_control	-0.990920906409143
WT_BC_17_swap	-2.19028272183587
WT_BC_18_control	-0.405667818641023
WT_BC_18_swap	-1.58541630809639
WT_BC_19_control	1.48699447876016
WT_BC_19_swap	-1.10748408109263
WT_BC_21_control	-0.884075978139016
WT_BC_21_swap	-0.810588415201261
WT_BC_22_control	-0.545655760196122
WT_BC_22_swap	-2.56525815534297
WT_BC_23_control	-0.211593692787097
WT_BC_23_swap	-1.01920728188002
WT_BC_25_control	-0.537027384583524
WT_BC_25_swap	-0.0826572858197014
WT_BC_27_control	-0.15880915538077
WT_BC_27_swap	-0.977392459382961
WT_BC_28_control	-0.777396950756162
WT_BC_28_swap	-1.52472510116048
WT_BC_29_control	-1.34332389171447
WT_BC_29_swap	-1.75827037001719
E15_5G_control	-0.012817970524305
E15_5G_swap	-0.347043774936795
E17_5B_control	1.17114292339034
E17_5B_swap	1.26116777990798
E17_5D_control	2.87963172373562
E17_5D_swap	2.3444656570943
E17_5C	2.49082383644527
E17_5C_swap	0.220155847730781
FK_control	4.80802554979521
FK_swap	4.75091981170984
DK02_control	3.67743786937848
DK02_swap	2.03716670011121
DK06_control	0.261562189917815
DK06_swap	-2.32966157766831
DK12_control	2.0155337081489
DK12_swap	-0.062017841431051
DK16_control	0.0891981518407063
DK16_swap	-2.15366639963122
P1_5A_control	-0.710665316853129
P1_5A_swap	0.0632385255773906
P1_5B_control	3.34691004298529
P1_5B_swap	2.882284808068
P1_5C_control	0.900584803248584
P1_5C_swap	-0.472198823592677
