V1	V2
LE_CCRF_CEM__113384hp133a11_	0.139651229273871
LE_HL_60__113385hp133a11_	0.1357918810749
LE_MOLT_4__113386hp133a21_	0.188965122927387
LE_RPMI_8226__113387hp133a11_	-0.191252144082333
LE_SR__113388hp133a11_	0.216981132075472
LE_K_562__113389hp133a11_	0.20440251572327
BR_BT_549__113390hp133a11_	0.661949685534591
BR_HS578T__113391hp133a11_	0.665809033733562
BR_MCF7__113392hp133a11_	-0.517295597484277
OV_NCI_ADR_RES__113393hp133a11_	0.431246426529445
BR_MDA_MB_231__113394hp133a11_	0.375071469411092
ME_MDA_MB_435__113395hp133a11_	0.419525443110349
CNS_SF_268__113396hp133a11_	0.675957690108633
CNS_SF_295__113397hp133a11_	0.620783304745569
CNS_SF_539__113398hp133a11_	0.682675814751286
CNS_SNB_19__113399hp133a11_	0.563178959405375
CNS_SNB_75__113400hp133a11_	0.721841052029731
CNS_U251__113401hp133a11_	0.584476843910806
CO_COLO205__113402hp133a11_	-0.64937106918239
CO_HCC_2998__113403hp133a11_	-0.646369353916524
CO_HCT_116__113404hp133a11_	-0.156375071469411
CO_HCT_15__113405hp133a11_	-0.416666666666667
CO_HT29__113406hp133a11_	-0.680245854774157
CO_KM12__113407hp133a11_	-0.485849056603774
CO_SW_620__113408hp133a11_	0.0877644368210406
RE_786_0__113409hp133a11_	0.491709548313322
RE_A498__113410hp133a11_	0.458261863922241
RE_ACHN__113411hp133a11_	0.374070897655803
RE_CAKI_1__113412hp133a11_	0.447112635791881
RE_RXF_393__113413hp133a11_	0.598056032018296
RE_SN12C__113414hp133a11_	0.596626643796455
RE_TK_10__113415hp133a11_	0.181675242995998
RE_UO_31__113416hp133a11_	0.330617495711835
LC_A549__113417hp133a11_	0.190680388793596
LC_EKVX__113418hp133a21_	0.203259005145798
LC_HOP_62__113419hp133a11_	0.447541452258433
LC_HOP_92__113420hp133a11_	0.561320754716981
LC_NCI_H226__113421hp133a11_	0.406946826758148
LC_NCI_H23__113422hp133a11_	0.435963407661521
LC_NCI_H322M__113423hp133a11_	-0.53759291023442
LC_NCI_H460__113424hp133a11_	0.329188107489994
LC_NCI_H522__113425hp133a11_	0.362492853058891
OV_IGROV1__113426hp133a11_	0.144797026872499
OV_OVCAR_3__113427hp133a21_	-0.261863922241281
OV_OVCAR_4__113428hp133a11_	-0.175814751286449
OV_OVCAR_5__113429hp133a11_	0.115923384791309
