	EMTScoreStd
LE_CCRF_CEM__113384hp133a11_	-23.8768714315343
LE_HL_60__113385hp133a11_	-23.4337028184112
LE_MOLT_4__113386hp133a21_	-22.6926904423454
LE_RPMI_8226__113387hp133a11_	-8.67662839329967
LE_SR__113388hp133a11_	-23.7024650217622
LE_K_562__113389hp133a11_	-18.1796871314859
BR_BT_549__113390hp133a11_	-25.8726662474791
BR_HS578T__113391hp133a11_	-28.5119117996626
BR_MCF7__113392hp133a11_	61.745435144127
OV_NCI_ADR_RES__113393hp133a11_	-15.739865176587
BR_MDA_MB_231__113394hp133a11_	-9.56867993588736
ME_MDA_MB_435__113395hp133a11_	-21.1290328419661
CNS_SF_268__113396hp133a11_	-28.9044915335781
CNS_SF_295__113397hp133a11_	-33.8474723239664
CNS_SF_539__113398hp133a11_	-34.3383452027369
CNS_SNB_19__113399hp133a11_	-28.3164506749161
CNS_SNB_75__113400hp133a11_	-31.4624528383753
CNS_U251__113401hp133a11_	-27.0180922249205
CO_COLO205__113402hp133a11_	61.8515493699693
CO_HCC_2998__113403hp133a11_	68.0965029382396
CO_HCT_116__113404hp133a11_	54.4490429525433
CO_HCT_15__113405hp133a11_	63.9504645588018
CO_HT29__113406hp133a11_	66.6144407575993
CO_KM12__113407hp133a11_	57.2343440013078
CO_SW_620__113408hp133a11_	5.98308242086748
RE_786_0__113409hp133a11_	-18.9155797991995
RE_A498__113410hp133a11_	-8.40731727440021
RE_ACHN__113411hp133a11_	-10.2910902497441
RE_CAKI_1__113412hp133a11_	-11.6912484055209
RE_RXF_393__113413hp133a11_	-15.9603570247594
RE_SN12C__113414hp133a11_	-22.2926433280843
RE_TK_10__113415hp133a11_	-3.91794364647512
RE_UO_31__113416hp133a11_	-2.96446027788855
LC_A549__113417hp133a11_	-8.78083798743258
LC_EKVX__113418hp133a21_	8.60435179108151
LC_HOP_62__113419hp133a11_	-12.2696133940886
LC_HOP_92__113420hp133a11_	-21.7861460523357
