	EMTScoreStd
LC_NCI_H226__113421hp133a11_	-13.1075259400423
LC_NCI_H23__113422hp133a11_	-17.1022553966328
LC_NCI_H322M__113423hp133a11_	75.7099309931216
LC_NCI_H460__113424hp133a11_	-15.0027577309018
LC_NCI_H522__113425hp133a11_	-18.234077250379
OV_IGROV1__113426hp133a11_	2.04419832062851
OV_OVCAR_3__113427hp133a21_	52.7899248697196
OV_OVCAR_4__113428hp133a11_	50.352833326313
OV_OVCAR_5__113429hp133a11_	-3.25299371135341
OV_OVCAR_8__113430hp133a11_	-12.1886824108428
OV_SK_OV_3__113431hp133a11_	4.24831806780651
PR_DU_145_DTP___113432hp133a11_	27.9541311984521
PR_PC_3__113433hp133a11_	5.48787860488426
ME_LOXIMVI__113434hp133a11_	-31.8749258978574
ME_M14__113435hp133a11_	-20.8243817060564
ME_MALME_3M__113436hp133a11_	-10.7869349219908
ME_SK_MEL_2__113437hp133a11_	-20.1548081963328
ME_SK_MEL_28__113438hp133a11_	-16.8508480572279
ME_SK_MEL_5__113439hp133a11_	-17.7660382551597
ME_UACC_257__113440hp133a11_	-6.76508276091351
ME_UACC_62__113441hp133a11_	-19.9608072860962
BR_T47D__113442hp133a11_	67.3708020610265
LE_CCRF_CEM__113443hp133a11_	-23.000248307801
LE_HL_60__113444hp133a11_	-19.7653789375962
LE_MOLT_4__113445hp133a11_	-22.9269716045273
LE_RPMI_8226__113446hp133a11_	-8.49901725506915
LE_SR__113447hp133a11_	-22.8341656977628
LE_K_562__113448hp133a11_	-19.8819749592102
BR_BT_549__113449hp133a11_	-25.736660877633
BR_HS578T__113450hp133a11_	-28.3673376451318
BR_MCF7__113451hp133a11_	64.5881210329891
OV_NCI_ADR_RES__113452hp133a11_	-9.69615389370996
BR_MDA_MB_231__113453hp133a11_	-10.2304780881456
ME_MDA_MB_435__113454hp133a11_	-27.5972775224312
CNS_SF_268__113455hp133a11_	-27.0437919473782
CNS_SF_295__113456hp133a11_	-31.8482443270033
CNS_SF_539__113457hp133a21_	-33.7012937424252
CNS_SNB_19__113458hp133a11_	-27.8635643708678
CNS_SNB_75__113459hp133a11_	-32.3256702428321
CNS_U251__113460hp133a11_	-27.0852333742603
CO_COLO205__113461hp133a11_	61.2455647812586
CO_HCC_2998__113462hp133a11_	67.3404595204014
CO_HCT_116__113463hp133a11_	53.6170104933415
CO_HCT_15__113464hp133a11_	64.6154467598265
CO_HT29__113465hp133a11_	66.676767602893
CO_KM12__113466hp133a11_	55.4650497243207
CO_SW_620__113467hp133a11_	12.7247117151706
RE_786_0__113468hp133a11_	-19.8344033458307
RE_A498__113469hp133a11_	-7.32799304470306
RE_ACHN__113470hp133a11_	-8.72291911423221
RE_CAKI_1__113471hp133a11_	-11.0687637872947
RE_RXF_393__113472hp133a11_	-14.7594348398946
RE_SN12C__113473hp133a11_	-7.63957358785592
RE_TK_10__113474hp133a11_	-2.28319605697959
RE_UO_31__113475hp133a11_	-0.428615976781458
LC_A549__113476hp133a11_	-9.6390230933383
LC_EKVX__113477hp133a11_	9.879849072339
LC_HOP_62__113478hp133a11_	-11.7397678134881
LC_HOP_92__113479hp133a11_	-20.1002523009987
LC_NCI_H226__113480hp133a11_	-12.299039054814
LC_NCI_H23__113481hp133a11_	-15.8130447361093
LC_NCI_H322M__113482hp133a11_	77.0642760851075
LC_NCI_H460__113483hp133a11_	-14.1816935853052
LC_NCI_H522__113484hp133a11_	-15.6356961368997
OV_IGROV1__113485hp133a11_	4.32936313985519
OV_OVCAR_3__113486hp133a11_	54.5250625478519
OV_OVCAR_4__113487hp133a11_	52.4632442312059
OV_OVCAR_5__113488hp133a11_	-1.97278688209613
OV_OVCAR_8__113489hp133a11_	-8.02145758738597
PR_DU_145_DTP___113490hp133a11_	29.2138644633431
PR_PC_3__113491hp133a11_	6.86311583312767
ME_LOXIMVI__113492hp133a11_	-32.0955856854078
ME_M14__113493hp133a11_	-20.6474436137274
ME_MALME_3M__113494hp133a11_	-8.60150718297132
ME_SK_MEL_2__113495hp133a11_	-19.4921257473656
ME_SK_MEL_28__113496hp133a11_	-14.011824736879
ME_SK_MEL_5__113497hp133a11_	-12.5889613338722
ME_UACC_257__113498hp133a11_	-6.30189590119795
ME_UACC_62__113499hp133a11_	-19.8945320238017
BR_T47D__113500hp133a11_	67.9970444850414
OV_SK_OV_3__116402hp133a11_	-8.6944052834139
LE_CCRF_CEM__118169hp133a11_	-25.112215674791
LE_HL_60__118170hp133a11_	-20.8450815870294
LE_MOLT_4__118171hp133a11_	-19.7576613519702
LE_RPMI_8226__118172hp133a11_	1.22310251010478
LE_SR__118173hp133a11_	-26.0084380398049
LE_K_562__118174hp133a11_	-20.6186382029388
BR_BT_549__118175hp133a11_	-25.4637328690068
BR_HS578T__118176hp133a11_	-28.7016718441226
BR_MCF7__118177hp133a11_	58.6617692729581
OV_NCI_ADR_RES__118178hp133a11_	-8.20315472611591
BR_MDA_MB_231__118179hp133a11_	-10.0667628274218
ME_MDA_MB_435__118180hp133a11_	-20.6336015298829
CNS_SF_268__118181hp133a11_	-28.7877935517001
CNS_SF_295__118182hp133a11_	-32.4472415785056
CNS_SF_539__118183hp133a11_	-30.8720345960915
CNS_SNB_19__118184hp133a11_	-24.7757412506379
CNS_SNB_75__118185hp133a11_	-32.8378424804282
CNS_U251__118186hp133a11_	-26.9483960935819
CO_COLO205__118187hp133a11_	58.8168194636618
CO_HCC_2998__118188hp133a11_	66.4919053991139
CO_HCT_116__118189hp133a11_	54.1408854862494
CO_HCT_15__118190hp133a11_	64.1707639672844
CO_HT29__118191hp133a11_	65.8843746536444
CO_KM12__118192hp133a11_	57.4292793843613
CO_SW_620__118193hp133a11_	6.47127995445561
RE_786_0__118194hp133a11_	-21.6922754018734
RE_A498__118195hp133a11_	-11.0831051982885
RE_ACHN__118196hp133a11_	-1.33316988362122
RE_RXF_393__118198hp133a11_	-15.0000771323299
RE_SN12C__118199hp133a11_	-18.0535985578215
RE_TK_10__118200hp133a11_	-1.84341201204526
RE_UO_31__118201hp133a11_	-1.78945797821251
LC_A549__118202hp133a11_	-7.69563182490512
LC_EKVX__118203hp133a11_	9.30828195342912
LC_HOP_62__118204hp133a11_	-14.7885264334474
LC_HOP_92__118205hp133a11_	-23.7267543444862
LC_NCI_H23__118207hp133a11_	-18.5488945054697
LC_NCI_H322M__118208hp133a11_	74.6481398997313
LC_NCI_H460__118209hp133a11_	-15.0144144877551
LC_NCI_H522__118210hp133a11_	-16.6550468725581
OV_IGROV1__118211hp133a11_	-2.37929181647374
OV_OVCAR_3__118212hp133a11_	53.3307017521958
OV_OVCAR_4__118213hp133a11_	52.2077148774097
OV_OVCAR_5__118214hp133a11_	-5.17598109607312
OV_OVCAR_8__118215hp133a11_	-12.7695692174392
OV_SK_OV_3__118216hp133a11_	-6.41111503756463
PR_DU_145_DTP___118217hp133a11_	27.3680745343635
PR_PC_3__118218hp133a11_	5.32469137154303
ME_LOXIMVI__118219hp133a11_	-34.8524474430657
ME_M14__118220hp133a11_	-19.6501832095514
ME_MALME_3M__118221hp133a11_	-7.34883351406826
ME_SK_MEL_2__118222hp133a11_	-27.884038655036
ME_SK_MEL_5__118224hp133a11_	-19.2994950172631
ME_UACC_257__118225hp133a11_	-8.73810755480865
ME_UACC_62__118226hp133a11_	-23.9286110889175
BR_T47D__118227hp133a11_	67.7883473890949
