V1	V2
hAMSCs_MP29_monoculture_Array1_replicate1	0.573830409356725
PHBECs_MP9_monoculture_Array2_replicate1	0.229970760233918
hAMSCs_MP29_coculture_Array3_replicate1	0.593567251461988
PHBECs_MP9_coculture_Array4_replicate1	0.109795321637427
hAMSCs_MP22_monoculture_Array5_replicate2	0.657748538011696
PHBECs_MP13_monoculture_Array6_replicate2	0.146929824561403
hAMSCs_MP22_coculture_Array7_replicate2	0.60672514619883
PHBECs_MP13_coculture_Array8_replicate2	-0.143713450292398
hAMSCs_MP28_monoculture_Array9_replicate3	0.553216374269006
PHBECs_MP15_monoculture_Array10_replicate3	-0.120029239766082
hAMSCs_MP28_coculture_Array11_replicate3	0.566374269005848
PHBECs_MP15_coculture_Array12_replicate3	-0.122514619883041
