V1	V2
LE_CCRF_CEM	0.119102416570771
LE_HL_60_TB_	0.101553509781358
LE_MOLT_4	0.150747986191024
LE_RPMI_8226	-0.163981588032221
LE_SR	0.21662830840046
LE_K_562	0.175201380897583
BR_MCF7	-0.472669735327963
UN_NCI_ADR_RES	0.379746835443038
BR_MDA_MB_231_ATCC	0.380322209436133
BR_HS_578T	0.633486766398159
BR_MDA_MB_435	0.399309551208285
BR_T_47D	-0.434695051783659
BR_MDA_N	0.393268124280783
BR_BT_549	0.549194476409666
CNS_SF_268	0.55897583429229
CNS_SF_295	0.553509781357883
CNS_SF_539	0.605868814729574
CNS_SNB_19	0.49482163406214
CNS_SNB_75	0.590046029919448
CNS_U251	0.501726121979287
CO_COLO_205	-0.606731875719217
CO_HCC_2998	-0.554948216340621
CO_HCT_116	0.0929228998849252
CO_HCT_15	-0.344073647871116
CO_HT29	-0.500575373993095
CO_KM12	-0.471518987341772
CO_SW_620	-0.105868814729574
RE_786_0	0.384349827387802
RE_A498	0.304948216340621
RE_ACHN	0.341772151898734
RE_CAKI_1	0.360184119677791
RE_RXF_393	0.499136939010357
RE_SN12C	0.510932105868815
RE_TK_10	0.204833141542002
RE_UO_31	0.317318757192175
LC_A549_ATCC	0.205408515535098
LC_EKVX	0.174050632911392
LC_HOP_62	0.40506329113924
LC_HOP_92	0.324223245109321
LC_NCI_H226	0.433831990794016
LC_NCI_H23	0.427215189873418
LC_NCI_H322M	-0.486478711162255
LC_NCI_H460	0.271288837744534
LC_NCI_H522	0.3204833141542
OV_IGROV1	0.134925201380898
OV_OVCAR_3	-0.183544303797468
OV_OVCAR_4	-0.115650172612198
OV_OVCAR_5	0.179228998849252
OV_OVCAR_8	0.420886075949367
OV_SK_OV_3	0.204545454545455
PR_PC_3	0.206846950517837
PR_DU_145	0.204257767548907
ME_LOX_IMVI	0.528481012658228
ME_MALME_3M	0.319907940161105
ME_M14	0.294016110471807
ME_SK_MEL_2	0.319332566168009
ME_SK_MEL_28	0.338319907940161
ME_SK_MEL_5	0.260644418872267
ME_UACC_257	0.278768699654776
ME_UACC_62	0.321921749136939
